time,day_of_year,time_to_strike,time_of_day,count,yes_price,no_price,taker_side,shift,DF_temperature_2m_max,DF_temperature_2m_max_dev,DF_temperature_2m_min,DF_temperature_2m_min_dev,DF_apparent_temperature_max,DF_apparent_temperature_max_dev,DF_apparent_temperature_min,DF_apparent_temperature_min_dev,DF_showers_sum,DF_snowfall_sum,DF_precipitation_sum,DF_precipitation_hours,DF_rain_sum,DF_precipitation_probability_max,CF_temperature_2m,CF_temperature_2m_dev,CF_apparent_temperature,CF_apparent_temperature_dev,CF_precipitation_probability,CF_precipitation,CF_rain,CF_showers,CF_snowfall,STF_temperature_2m,STF_temperature_2m_dev,STF_apparent_temperature,STF_apparent_temperature_dev,STF_precipitation_probability,STF_precipitation,STF_rain,STF_showers,STF_snowfall,impact,result,count_agg_2,yes_price_vol_2,count_vol_2,taker_side_sentiment_2,yes_price_sentiment_2,count_sentiment_2,yes_price_trend_2,count_agg_5,yes_price_vol_5,count_vol_5,taker_side_sentiment_5,yes_price_sentiment_5,count_sentiment_5,yes_price_trend_5,count_agg_15,yes_price_vol_15,count_vol_15,taker_side_sentiment_15,yes_price_sentiment_15,count_sentiment_15,yes_price_trend_15,count_agg_60,yes_price_vol_60,count_vol_60,taker_side_sentiment_60,yes_price_sentiment_60,count_sentiment_60,yes_price_trend_60,count_agg_120,yes_price_vol_120,count_vol_120,taker_side_sentiment_120,yes_price_sentiment_120,count_sentiment_120,yes_price_trend_120
2025-04-27 13:40:26.320205,117,51513.679795,13.673888888888888,19,44,56,1,1.0,-1.5,1.8999999999999986,-15.299999999999997,-11.899999999999999,-12.700000000000003,-9.300000000000004,-23.9,-20.5,0.0,0.0,0.0,0.0,0.0,2.0,-3.3999999999999986,1.8999999999999986,-14.5,13.0,1.0,0.0,0.0,0.0,0.0,-2.8999999999999986,1.3999999999999986,-13.899999999999999,12.399999999999999,1.0,0.0,0.0,0.0,0.0,-30.97851765713936,-44,20,0.0,12.727922061357855,1.0,44.0,10.0,0,32,0.0,12.727922061357855,1.0,44.0,10.0,0,239,0.0,12.727922061357855,1.0,44.0,10.0,0,602,0.8345229603962802,6.301927142889365,0.625,44.125,5.5,0,1950,1.4465383224372486,20.488181749434222,0.6129032258064516,44.32258064516129,12.03225806451613,-4
2025-04-27 13:40:27.251718,117,51512.748282,13.674166666666666,2,43,57,0,1.0,-1.5,1.8999999999999986,-15.299999999999997,-11.899999999999999,-12.700000000000003,-9.300000000000004,-23.9,-20.5,0.0,0.0,0.0,0.0,0.0,2.0,-3.3999999999999986,1.8999999999999986,-14.5,13.0,1.0,0.0,0.0,0.0,0.0,-2.8999999999999986,1.3999999999999986,-13.899999999999999,12.399999999999999,1.0,0.0,0.0,0.0,0.0,-30.014583333333334,43,22,0.5773502691896258,10.115993936995679,0.6666666666666666,43.666666666666664,7.333333333333333,1,34,0.5773502691896258,10.115993936995679,0.6666666666666666,43.666666666666664,7.333333333333333,1,241,0.5773502691896258,10.115993936995679,0.6666666666666666,43.666666666666664,7.333333333333333,1,604,0.8660254037844386,6.009252125773315,0.5555555555555556,44.0,5.111111111111111,1,1952,1.4420946906407337,20.232893013047327,0.59375,44.28125,11.71875,-3
2025-04-27 13:41:34.788312,117,51445.211688,13.692777777777778,3,32,68,1,-1.0,0.5,1.8999999999999986,-13.299999999999997,-11.899999999999999,-10.700000000000003,-9.300000000000004,-21.9,-20.5,0.0,0.0,0.0,0.0,0.0,2.0,-1.3999999999999986,1.8999999999999986,-12.5,13.0,1.0,0.0,0.0,0.0,0.0,-0.8999999999999986,1.3999999999999986,-11.899999999999999,12.399999999999999,1.0,0.0,0.0,0.0,0.0,39.10229833258225,-32,27,0.5773502691896258,1.1547005383792517,1.0,31.333333333333332,1.6666666666666667,1,39,0.5773502691896258,1.1547005383792517,1.0,31.333333333333332,1.6666666666666667,1,246,0.7264831572567789,65.80104693527132,0.3333333333333333,30.555555555555557,23.555555555555557,0,609,1.0961665145715698,56.04540085075438,0.43478260869565216,31.26086956521739,23.217391304347824,1,1957,2.011749996181943,57.54296886669356,0.5636363636363636,30.90909090909091,26.345454545454544,-4
2025-04-27 13:41:34.788312,117,51445.211688,13.692777777777778,1,31,69,1,-1.0,0.5,1.8999999999999986,-13.299999999999997,-11.899999999999999,-10.700000000000003,-9.300000000000004,-21.9,-20.5,0.0,0.0,0.0,0.0,0.0,2.0,-1.3999999999999986,1.8999999999999986,-12.5,13.0,1.0,0.0,0.0,0.0,0.0,-0.8999999999999986,1.3999999999999986,-11.899999999999999,12.399999999999999,1.0,0.0,0.0,0.0,0.0,40.111111111111114,-31,27,0.5773502691896258,1.1547005383792517,1.0,31.333333333333332,1.6666666666666667,1,39,0.5773502691896258,1.1547005383792517,1.0,31.333333333333332,1.6666666666666667,1,246,0.7264831572567789,65.80104693527132,0.3333333333333333,30.555555555555557,23.555555555555557,0,609,1.0961665145715698,56.04540085075438,0.43478260869565216,31.26086956521739,23.217391304347824,1,1957,2.011749996181943,57.54296886669356,0.5636363636363636,30.90909090909091,26.345454545454544,-4
2025-04-27 13:41:34.788312,117,51445.211688,13.692777777777778,1,31,69,1,-1.0,0.5,1.8999999999999986,-13.299999999999997,-11.899999999999999,-10.700000000000003,-9.300000000000004,-21.9,-20.5,0.0,0.0,0.0,0.0,0.0,2.0,-1.3999999999999986,1.8999999999999986,-12.5,13.0,1.0,0.0,0.0,0.0,0.0,-0.8999999999999986,1.3999999999999986,-11.899999999999999,12.399999999999999,1.0,0.0,0.0,0.0,0.0,40.114124718256946,-31,27,0.5773502691896258,1.1547005383792517,1.0,31.333333333333332,1.6666666666666667,1,39,0.5773502691896258,1.1547005383792517,1.0,31.333333333333332,1.6666666666666667,1,246,0.7264831572567789,65.80104693527132,0.3333333333333333,30.555555555555557,23.555555555555557,0,609,1.0961665145715698,56.04540085075438,0.43478260869565216,31.26086956521739,23.217391304347824,1,1957,2.011749996181943,57.54296886669356,0.5636363636363636,30.90909090909091,26.345454545454544,-4
2025-04-27 13:44:12.499688,117,51287.500312,13.736666666666666,1,45,55,1,1.0,-1.5,1.8999999999999986,-15.299999999999997,-11.899999999999999,-12.700000000000003,-9.300000000000004,-23.9,-20.5,0.0,0.0,0.0,0.0,0.0,2.0,-3.3999999999999986,1.8999999999999986,-14.5,13.0,1.0,0.0,0.0,0.0,0.0,-2.8999999999999986,1.3999999999999986,-13.899999999999999,12.399999999999999,1.0,0.0,0.0,0.0,0.0,-32.0182620419169,-45,106,0.0,73.53910524340094,1.0,45.0,53.0,0,133,0.8366600265340756,45.04220243282959,0.8,44.2,25.6,-1,351,0.8366600265340756,45.04220243282959,0.8,44.2,25.6,-1,702,0.927960727138337,33.988151530267785,0.6666666666666666,44.111111111111114,15.777777777777779,0,2063,1.408213745726901,25.409533349251774,0.6176470588235294,44.3235294117647,14.147058823529411,-5
2025-04-27 13:44:12.499688,117,51287.500312,13.736666666666666,105,45,55,1,1.0,-1.5,1.8999999999999986,-15.299999999999997,-11.899999999999999,-12.700000000000003,-9.300000000000004,-23.9,-20.5,0.0,0.0,0.0,0.0,0.0,2.0,-3.3999999999999986,1.8999999999999986,-14.5,13.0,1.0,0.0,0.0,0.0,0.0,-2.8999999999999986,1.3999999999999986,-13.899999999999999,12.399999999999999,1.0,0.0,0.0,0.0,0.0,-32.02022430593859,-45,106,0.0,73.53910524340094,1.0,45.0,53.0,0,133,0.8366600265340756,45.04220243282959,0.8,44.2,25.6,-1,351,0.8366600265340756,45.04220243282959,0.8,44.2,25.6,-1,702,0.927960727138337,33.988151530267785,0.6666666666666666,44.111111111111114,15.777777777777779,0,2063,1.408213745726901,25.409533349251774,0.6176470588235294,44.3235294117647,14.147058823529411,-5
2025-04-27 13:44:13.077845,117,51286.922155,13.736944444444443,2,44,56,0,1.0,-1.5,1.8999999999999986,-15.299999999999997,-11.899999999999999,-12.700000000000003,-9.300000000000004,-23.9,-20.5,0.0,0.0,0.0,0.0,0.0,2.0,-3.3999999999999986,1.8999999999999986,-14.5,13.0,1.0,0.0,0.0,0.0,0.0,-2.8999999999999986,1.3999999999999986,-13.899999999999999,12.399999999999999,1.0,0.0,0.0,0.0,0.0,-31.227609178386388,44,108,0.5773502691896258,59.75784467331465,0.6666666666666666,44.666666666666664,36.0,1,135,0.752772652709081,41.4230209746545,0.6666666666666666,44.166666666666664,21.666666666666668,0,353,0.752772652709081,41.4230209746545,0.6666666666666666,44.166666666666664,21.666666666666668,0,704,0.8755950357709131,32.339174730073466,0.6,44.1,14.4,1,2065,1.3884275611053587,25.117137341570082,0.6,44.31428571428572,13.8,-4
2025-04-27 13:44:13.125116,117,51286.874884,13.736944444444443,2,44,56,0,1.0,-1.5,1.8999999999999986,-15.299999999999997,-11.899999999999999,-12.700000000000003,-9.300000000000004,-23.9,-20.5,0.0,0.0,0.0,0.0,0.0,2.0,-3.3999999999999986,1.8999999999999986,-14.5,13.0,1.0,0.0,0.0,0.0,0.0,-2.8999999999999986,1.3999999999999986,-13.899999999999999,12.399999999999999,1.0,0.0,0.0,0.0,0.0,-31.231462060456508,44,110,0.5773502691896257,51.66881715954669,0.5,44.5,27.5,1,137,0.6900655593423541,38.53755126033382,0.5714285714285714,44.142857142857146,18.857142857142858,0,355,0.6900655593423541,38.53755126033382,0.5714285714285714,44.142857142857146,18.857142857142858,0,706,0.8312094145936335,30.9066041780423,0.5454545454545454,44.09090909090909,13.272727272727273,1,2067,1.3694512862445398,24.83371683948039,0.5833333333333334,44.30555555555556,13.472222222222221,-4
2025-04-27 13:45:45.717253,117,51194.282747,13.7625,4,20,80,1,3.0,-3.5,1.8999999999999986,-17.299999999999997,-11.899999999999999,-14.700000000000003,-9.300000000000004,-25.9,-20.5,0.0,0.0,0.0,0.0,0.0,2.0,-5.399999999999999,1.8999999999999986,-16.5,13.0,1.0,0.0,0.0,0.0,0.0,-4.899999999999999,1.3999999999999986,-15.899999999999999,12.399999999999999,1.0,0.0,0.0,0.0,0.0,-14.316046966731898,-20,114,,,1.0,20.0,4.0,0,119,,,1.0,20.0,4.0,0,359,1.1547005383792515,2.309401076758503,1.0,21.333333333333332,5.333333333333333,2,710,1.5,6.13052471924984,0.75,20.75,8.25,-1,2071,1.3887301496588271,8.201698430377524,0.5,21.25,10.125,2
