time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,forecast_bucket_delta,kalshi_forecast_delta,strike_m_3.5,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_3.5,entropy,impact,result,outcome
2024-11-15 10:00:31.719197,fc65ff96-a75d-49ba-aeb0-226c6cc23eb1,KXHIGHNY-24NOV16-B59.5,136708.281,1,-1.0,59.5,63.0,97,3,1,0.0,3.5,58.0,3.5,0.0,0.0,97.0,0.0,0.0,0.0,-443.747,-96.0,-97,0
2024-11-15 10:01:21.096417,fdd54c54-ea82-474d-87a2-46bdfb6b1821,KXHIGHNY-24NOV16-B61.5,136658.904,21,1.0,60.481,63.0,84,16,1,-1.019,1.5,60.0,2.519,0.0,0.0,87.3,84.0,0.0,0.0,-762.363,15.0,16,1
2024-11-15 10:01:21.096417,ee6ad2f5-4b69-4fd4-a99e-d4aac9a49e02,KXHIGHNY-24NOV16-B61.5,136658.904,16,1.0,60.197,63.0,42,58,1,-1.303,1.5,60.0,2.803,0.0,0.0,78.57,42.0,0.0,0.0,-499.861,57.0,58,1
2024-11-15 10:04:29.147035,977d7270-3bd7-42e1-ae74-9b813e743930,KXHIGHNY-24NOV16-B63.5,136470.853,3,3.0,61.599,63.0,80,20,1,-1.901,-0.5,62.0,1.401,0.0,0.0,70.713,37.8,80.0,0.0,-789.004,-79.0,-80,0
2024-11-15 10:04:29.147035,03296d1c-8966-414d-9146-b2ddc9037f12,KXHIGHNY-24NOV16-B63.5,136470.853,12,3.0,60.735,63.0,19,81,1,-2.765,-0.5,62.0,2.265,0.0,0.0,63.642,34.02,19.0,0.0,-440.252,-18.0,-19,0
2024-11-15 10:11:35.581343,151184ed-e0ea-4ba3-9def-9bc664280ae2,KXHIGHNY-24NOV16-T57,136044.419,120,-3.5,60.699,63.0,1,99,0,3.699,6.0,54.0,2.301,1.0,0.0,57.278,30.618,17.1,0.0,-385.165,0.0,1,0
2024-11-15 10:19:34.095664,6c470e6f-94e4-4be3-8d2a-970c925ae6a2,KXHIGHNY-24NOV16-B61.5,135565.904,4,1.0,60.829,63.0,46,54,0,-0.671,1.5,60.0,2.171,0.9,0.0,51.55,46.0,15.39,0.0,-421.332,-53.0,-54,1
2024-11-15 10:19:34.095664,4c36a178-f789-4de1-9642-72a53b4685b2,KXHIGHNY-24NOV16-B61.5,135565.904,5,1.0,60.864,63.0,47,53,0,-0.636,1.5,60.0,2.136,0.81,0.0,46.395,47.0,13.851,0.0,-395.217,-52.0,-53,1
2024-11-15 10:21:00.141610,1ffd6cdd-f5c6-4b86-a9eb-d8062363726d,KXHIGHNY-24NOV16-B59.5,135479.858,100,-1.0,61.07,63.0,29,71,1,1.57,3.5,58.0,1.93,0.729,0.0,29.0,42.3,12.466,0.0,-287.277,-28.0,-29,0
2024-11-15 10:21:51.221631,07cb7c10-e061-407a-a10a-86e23809c026,KXHIGHNY-24NOV16-B63.5,135428.778,50,3.0,61.185,63.0,15,85,1,-2.315,-0.5,62.0,1.815,0.656,0.0,26.1,38.07,15.0,0.0,-264.034,-14.0,-15,0
2024-11-15 10:25:17.014367,3d784410-2e15-4e68-a853-d571519a7a17,KXHIGHNY-24NOV16-B61.5,135222.986,137,1.0,61.25,63.0,53,47,1,-0.25,1.5,60.0,1.75,0.59,0.0,23.49,53.0,13.5,0.0,-319.399,46.0,47,1
2024-11-15 10:27:51.976402,012e868a-07ec-4ec0-8936-ecc1adad5c88,KXHIGHNY-24NOV16-B61.5,135068.024,44,1.0,61.268,63.0,54,46,1,-0.232,1.5,60.0,1.732,0.531,0.0,21.141,54.0,12.15,0.0,-309.917,45.0,46,1
2024-11-15 10:31:19.835462,6bd7f6f1-18dc-4686-8773-bf1e22c6eb1f,KXHIGHNY-24NOV16-B61.5,134860.165,74,1.0,61.288,63.0,56,44,1,-0.212,1.5,60.0,1.712,0.478,0.0,19.027,56.0,10.935,0.0,-307.274,43.0,44,1
2024-11-15 10:31:19.835462,62f60666-43ab-4801-80a9-7cd08ffa0363,KXHIGHNY-24NOV16-B61.5,134860.165,100,1.0,61.3,63.0,55,45,1,-0.2,1.5,60.0,1.7,0.43,0.0,17.124,55.0,9.842,0.0,-291.185,44.0,45,1
2024-11-15 10:31:56.858909,bebd0bbd-ea0f-411d-95a1-5c732eafb713,KXHIGHNY-24NOV16-B63.5,134823.141,200,3.0,61.333,63.0,10,90,0,-2.167,-0.5,62.0,1.667,0.387,0.0,15.412,49.5,10.0,0.0,-257.959,9.0,10,0
2024-11-15 10:32:02.133340,f714fe7c-41b7-49f5-82ad-5852de79dea1,KXHIGHNY-24NOV16-B63.5,134817.867,240,3.0,61.333,63.0,9,91,0,-2.167,-0.5,62.0,1.667,0.349,0.0,13.871,44.55,9.0,0.0,-225.023,8.0,9,0
