time,trade_id,ticker,time_to_strike,day_forecast_strike_dev,current_forecast_strike_dev,day_current_forecast_dev,kalshi_strike_dev,polymk_strike_dev,kalshi_polymk_dev,kalshi_day_forecast_dev,polymk_day_forecast_dev,day_forecast_percipitation,day_forecast_rain,hour_forecast_rain,yes_price,no_price,taker_side,count,shift,impact,result,outcome,count_agg_2,yes_price_vol_2,count_vol_2,taker_side_sentiment_2,yes_price_sentiment_2,count_sentiment_2,yes_price_trend_2,count_agg_5,yes_price_vol_5,count_vol_5,taker_side_sentiment_5,yes_price_sentiment_5,count_sentiment_5,yes_price_trend_5,count_agg_15,yes_price_vol_15,count_vol_15,taker_side_sentiment_15,yes_price_sentiment_15,count_sentiment_15,yes_price_trend_15,count_agg_60,yes_price_vol_60,count_vol_60,taker_side_sentiment_60,yes_price_sentiment_60,count_sentiment_60,yes_price_trend_60,count_agg_120,yes_price_vol_120,count_vol_120,taker_side_sentiment_120,yes_price_sentiment_120,count_sentiment_120,yes_price_trend_120
2025-04-03 23:59:30.894836,df7049de-9ace-4a19-ad2e-b593ca9554f8,KXHIGHNY-25APR04-T70,86369.105,-1.3,-2.4,1.1,0.0,-3.668,3.668,-1.3,2.368,67.0,1.1,0.0,74,26,1,70,5.0,20.359,26,1,131,0.0,6.364,1.0,74.0,65.5,0,131,0.0,6.364,1.0,74.0,65.5,0,131,0.0,6.364,1.0,74.0,65.5,0,131,0.0,6.364,1.0,74.0,65.5,0,131,0.0,6.364,1.0,74.0,65.5,0
2025-04-03 23:59:30.894836,7ea98508-9450-48f3-ad81-ddeeac7f9746,KXHIGHNY-25APR04-T70,86369.105,-1.3,-2.4,1.1,0.0,-3.668,3.668,-1.3,2.368,67.0,1.1,0.0,74,26,1,61,5.0,20.399,26,1,131,0.0,6.364,1.0,74.0,65.5,0,131,0.0,6.364,1.0,74.0,65.5,0,131,0.0,6.364,1.0,74.0,65.5,0,131,0.0,6.364,1.0,74.0,65.5,0,131,0.0,6.364,1.0,74.0,65.5,0
2025-04-03 23:59:42.619996,d2d55ff7-f373-4a1b-92c7-27e8914cd758,KXHIGHNY-25APR04-T70,86357.38,-1.3,-2.4,1.1,0.0,-3.668,3.668,-1.3,2.368,67.0,1.1,0.0,61,39,0,24,5.0,-33.357,-39,1,155,7.506,24.379,0.667,69.667,51.667,13,155,7.506,24.379,0.667,69.667,51.667,13,155,7.506,24.379,0.667,69.667,51.667,13,155,7.506,24.379,0.667,69.667,51.667,13,155,7.506,24.379,0.667,69.667,51.667,13
2025-04-03 23:59:42.700832,d6537e86-0e7e-4561-815f-d3e33f9d4943,KXHIGHNY-25APR04-T70,86357.299,-1.3,-2.4,1.1,0.0,-3.668,3.668,-1.3,2.368,67.0,1.1,0.0,75,25,1,198,5.0,18.955,25,1,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0
2025-04-03 23:59:42.700832,a0e63561-e56d-4c19-befe-875a1f556895,KXHIGHNY-25APR04-T70,86357.299,-1.3,-2.4,1.1,0.0,-3.668,3.668,-1.3,2.368,67.0,1.1,0.0,75,25,1,50,5.0,19.057,25,1,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0
2025-04-03 23:59:42.700832,7fdf0fa7-15cd-4b51-b482-536159e76da3,KXHIGHNY-25APR04-T70,86357.299,-1.3,-2.4,1.1,0.0,-3.668,3.668,-1.3,2.368,67.0,1.1,0.0,75,25,1,10,5.0,19.061,25,1,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0
2025-04-03 23:59:42.700832,2a5029ca-2262-4174-bc3d-a55ee80a28f8,KXHIGHNY-25APR04-T70,86357.299,-1.3,-2.4,1.1,0.0,-3.668,3.668,-1.3,2.368,67.0,1.1,0.0,74,26,1,42,5.0,20.249,26,1,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0,455,5.127,62.169,0.857,72.571,65.0,0
2025-04-04 00:00:10.148129,eb803844-7280-4f8c-bfe6-ef3a0be0aa73,KXHIGHNY-25APR04-B69.5,86329.852,0.7,-0.5,1.2,1.383,-1.648,3.031,-0.683,2.348,67.0,1.1,0.0,33,67,1,5,3.0,-29.55,-33,0,460,0.0,0.0,1.0,33.0,5.0,0,460,0.0,0.0,1.0,33.0,5.0,0,460,0.0,0.0,1.0,33.0,5.0,0,460,0.0,0.0,1.0,33.0,5.0,0,460,0.0,0.0,1.0,33.0,5.0,0
2025-04-04 00:00:16.293406,4c2ac414-577e-4303-9231-e2079a166b33,KXHIGHNY-25APR04-T70,86323.707,-1.3,-2.5,1.2,-0.623,-3.648,3.025,-0.677,2.348,67.0,1.1,0.0,73,27,1,20,5.0,20.919,27,1,480,4.749,59.716,0.875,72.625,59.375,1,480,4.749,59.716,0.875,72.625,59.375,1,480,4.749,59.716,0.875,72.625,59.375,1,480,4.749,59.716,0.875,72.625,59.375,1,480,4.749,59.716,0.875,72.625,59.375,1
2025-04-04 00:00:31.346126,0fcd5f0a-6424-4d2c-b96f-e180e02882c1,KXHIGHNY-25APR04-B69.5,86308.654,0.7,-0.5,1.2,1.49,-1.648,3.138,-0.79,2.348,67.0,1.1,0.0,25,75,0,50,3.0,21.521,25,0,530,5.657,31.82,0.5,29.0,27.5,8,530,5.657,31.82,0.5,29.0,27.5,8,530,5.657,31.82,0.5,29.0,27.5,8,530,5.657,31.82,0.5,29.0,27.5,8,530,5.657,31.82,0.5,29.0,27.5,8
2025-04-04 00:00:38.045803,1067e34c-e64a-4775-9822-69a6b6d5f903,KXHIGHNY-25APR04-B69.5,86301.954,0.7,-0.5,1.2,1.505,-1.648,3.153,-0.805,2.348,67.0,1.1,0.0,24,76,1,5,3.0,-20.464,-24,0,535,4.933,25.981,0.667,27.333,20.0,9,535,4.933,25.981,0.667,27.333,20.0,9,535,4.933,25.981,0.667,27.333,20.0,9,535,4.933,25.981,0.667,27.333,20.0,9,535,4.933,25.981,0.667,27.333,20.0,9
2025-04-04 00:00:51.268965,e508c62d-89c1-44ab-ae29-555296409a49,KXHIGHNY-25APR04-T70,86288.731,-1.3,-2.5,1.2,-0.48,-3.648,3.168,-0.82,2.348,67.0,1.1,0.0,76,24,1,5,5.0,17.877,24,1,540,4.583,58.726,0.889,73.0,53.333,-2,540,4.583,58.726,0.889,73.0,53.333,-2,540,4.583,58.726,0.889,73.0,53.333,-2,540,4.583,58.726,0.889,73.0,53.333,-2,540,4.583,58.726,0.889,73.0,53.333,-2
2025-04-04 00:01:11.461483,f23b0f10-f9e2-44d5-9802-58cf624df50e,KXHIGHNY-25APR04-T70,86268.539,-1.3,-2.5,1.2,-0.485,-3.648,3.163,-0.815,2.348,67.0,1.1,0.0,75,25,0,50,5.0,-18.85,-25,1,590,4.367,55.377,0.8,73.2,53.0,-1,590,4.367,55.377,0.8,73.2,53.0,-1,590,4.367,55.377,0.8,73.2,53.0,-1,590,4.367,55.377,0.8,73.2,53.0,-1,590,4.367,55.377,0.8,73.2,53.0,-1
2025-04-04 00:01:30.328541,53489944-1bd1-4cea-acdf-40e89e074e0e,KXHIGHNY-25APR04-T70,86249.671,-1.3,-2.5,1.2,-0.485,-3.648,3.163,-0.815,2.348,67.0,1.1,0.0,75,25,0,330,5.0,-18.824,-25,1,920,4.178,98.668,0.727,73.364,78.182,-1,920,4.178,98.668,0.727,73.364,78.182,-1,920,4.178,98.668,0.727,73.364,78.182,-1,920,4.178,98.668,0.727,73.364,78.182,-1,920,4.178,98.668,0.727,73.364,78.182,-1
2025-04-04 00:03:02.267282,913464bd-c155-4c9c-98c0-bf10a416be92,KXHIGHNY-25APR04-B69.5,86157.733,0.7,-0.5,1.2,1.579,-1.648,3.227,-0.879,2.348,67.0,1.1,0.0,20,80,0,50,3.0,16.448,20,0,659,0.0,126.572,0.0,20.0,139.5,0,1199,5.32,92.88,0.4,24.4,67.8,13,1199,5.32,92.88,0.4,24.4,67.8,13,1199,5.32,92.88,0.4,24.4,67.8,13,1199,5.32,92.88,0.4,24.4,67.8,13
