time,day_of_year,time_to_strike,time_of_day,count,yes_price,no_price,taker_side,shift,DF_temperature_2m_max,DF_temperature_2m_max_dev,DF_temperature_2m_min,DF_temperature_2m_min_dev,DF_apparent_temperature_max,DF_apparent_temperature_max_dev,DF_apparent_temperature_min,DF_apparent_temperature_min_dev,DF_showers_sum,DF_snowfall_sum,DF_precipitation_sum,DF_precipitation_hours,DF_rain_sum,DF_precipitation_probability_max,CF_temperature_2m,CF_temperature_2m_dev,CF_apparent_temperature,CF_apparent_temperature_dev,CF_precipitation_probability,CF_precipitation,CF_rain,CF_showers,CF_snowfall,STF_temperature_2m,STF_temperature_2m_dev,STF_apparent_temperature,STF_apparent_temperature_dev,STF_precipitation_probability,STF_precipitation,STF_rain,STF_showers,STF_snowfall,impact,result,count_agg_2,yes_price_vol_2,count_vol_2,taker_side_sentiment_2,yes_price_sentiment_2,count_sentiment_2,yes_price_trend_2,count_agg_15,yes_price_vol_15,count_vol_15,taker_side_sentiment_15,yes_price_sentiment_15,count_sentiment_15,yes_price_trend_15,count_agg_60,yes_price_vol_60,count_vol_60,taker_side_sentiment_60,yes_price_sentiment_60,count_sentiment_60,yes_price_trend_60,count_agg_120,yes_price_vol_120,count_vol_120,taker_side_sentiment_120,yes_price_sentiment_120,count_sentiment_120,yes_price_trend_120
2025-02-09 22:11:22.164035,40,31657.835965,22.189444444444444,1,26,74,1,5.416666666666664,1.6000000000000014,0.0,-18.6,-20.200000000000003,-7.700000000000003,-9.300000000000004,-25.8,-27.400000000000002,0.0,0.0,0.0,0.0,0.0,2.0,1.6000000000000014,0.0,-8.8,10.400000000000002,0.0,0.0,0.0,0.0,0.0,0.20000000000000284,1.3999999999999986,-10.2,11.8,0.0,0.0,0.0,0.0,0.0,-18.50830889540567,-26,40,0.5773502691896258,9.0,1.0,26.666666666666668,10.0,1,439,9.17877987534291,7.365459931328117,1.0,31.25,10.25,19,3910,10.64931586482187,37.91562513207464,0.5797101449275363,33.78260869565217,21.391304347826086,6,5010,11.750053926011518,36.305087238412945,0.5662650602409639,31.096385542168676,20.650602409638555,-19
2025-02-09 22:12:08.188640,40,31611.81136,22.202222222222222,1,25,75,0,5.416666666666664,1.6000000000000014,0.0,-18.6,-20.200000000000003,-7.700000000000003,-9.300000000000004,-25.8,-27.400000000000002,0.0,0.0,0.0,0.0,0.0,2.0,1.6000000000000014,0.0,-8.8,10.400000000000002,0.0,0.0,0.0,0.0,0.0,0.20000000000000284,1.3999999999999986,-10.2,11.8,0.0,0.0,0.0,0.0,0.0,-17.514341590612773,25,41,0.9574271077563381,8.616843969807043,0.75,26.25,7.75,2,440,8.426149773176359,7.602631123499285,0.8,30.0,8.4,20,3911,10.62385300105342,37.71869562962113,0.5714285714285714,33.65714285714286,21.1,7,4981,11.69798272226928,36.14935828500515,0.5595238095238095,31.023809523809526,20.416666666666668,-18
2025-02-09 22:12:38.506206,40,31581.493794,22.210555555555555,1000,78,22,1,-35.083333333333336,42.1,0.0,21.9,-20.200000000000003,32.8,-9.300000000000004,14.7,-27.400000000000002,0.0,0.0,0.0,0.0,0.0,2.0,42.1,0.0,31.7,10.400000000000002,0.0,0.0,0.0,0.0,0.0,40.7,1.3999999999999986,30.3,11.8,0.0,0.0,0.0,0.0,0.0,15.98469143677245,22,1061,2.160246899469287,495.04309576709244,0.75,76.0,257.5,-4,1460,2.073644135332772,443.68547418188035,0.8,75.6,206.4,-3,4648,12.655498119515533,195.53843611934712,0.46,67.04,59.16,-2,6001,11.41404224454949,160.96938548389585,0.6133333333333333,68.17333333333333,43.45333333333333,-18
2025-02-09 22:12:38.506206,40,31581.493794,22.210555555555555,2,76,24,1,-35.083333333333336,42.1,0.0,21.9,-20.200000000000003,32.8,-9.300000000000004,14.7,-27.400000000000002,0.0,0.0,0.0,0.0,0.0,2.0,42.1,0.0,31.7,10.400000000000002,0.0,0.0,0.0,0.0,0.0,40.7,1.3999999999999986,30.3,11.8,0.0,0.0,0.0,0.0,0.0,19.36960665395945,24,1061,2.160246899469287,495.04309576709244,0.75,76.0,257.5,-4,1460,2.073644135332772,443.68547418188035,0.8,75.6,206.4,-3,4648,12.655498119515533,195.53843611934712,0.46,67.04,59.16,-2,6001,11.41404224454949,160.96938548389585,0.6133333333333333,68.17333333333333,43.45333333333333,-18
2025-02-09 22:12:38.506206,40,31581.493794,22.210555555555555,18,77,23,1,-35.083333333333336,42.1,0.0,21.9,-20.200000000000003,32.8,-9.300000000000004,14.7,-27.400000000000002,0.0,0.0,0.0,0.0,0.0,2.0,42.1,0.0,31.7,10.400000000000002,0.0,0.0,0.0,0.0,0.0,40.7,1.3999999999999986,30.3,11.8,0.0,0.0,0.0,0.0,0.0,18.372963604852686,23,1061,2.160246899469287,495.04309576709244,0.75,76.0,257.5,-4,1460,2.073644135332772,443.68547418188035,0.8,75.6,206.4,-3,4648,12.655498119515533,195.53843611934712,0.46,67.04,59.16,-2,6001,11.41404224454949,160.96938548389585,0.6133333333333333,68.17333333333333,43.45333333333333,-18
2025-02-09 22:18:07.654233,40,31252.345767,22.301944444444445,3,74,26,0,-35.083333333333336,42.1,0.0,21.9,-20.200000000000003,32.8,-9.300000000000004,14.7,-27.400000000000002,0.0,0.0,0.0,0.0,0.0,2.0,42.1,0.0,31.7,10.400000000000002,0.0,0.0,0.0,0.0,0.0,40.7,1.3999999999999986,30.3,11.8,0.0,0.0,0.0,0.0,0.0,21.401666377365046,-26,3,,,0.0,74.0,3.0,0,1152,1.96638416050035,405.43889798587406,0.6666666666666666,75.33333333333333,172.5,0,4184,13.365761846733232,218.1443873170903,0.5,67.35,64.725,-20,5981,11.382505938563858,161.0202852197581,0.6,68.37333333333333,43.18666666666667,-15
2025-02-09 22:18:14.399541,40,31245.600459,22.30388888888889,18,78,22,1,-35.083333333333336,42.1,0.0,21.9,-20.200000000000003,32.8,-9.300000000000004,14.7,-27.400000000000002,0.0,0.0,0.0,0.0,0.0,2.0,42.1,0.0,31.7,10.400000000000002,0.0,0.0,0.0,0.0,0.0,40.7,1.3999999999999986,30.3,11.8,0.0,0.0,0.0,0.0,0.0,17.407240211823947,22,21,2.8284271247461903,10.606601717798213,0.5,76.0,10.5,-4,1170,2.0586634591635513,374.6918098663919,0.7142857142857143,75.71428571428571,150.42857142857142,-4,4202,13.30202625313243,215.52389375771727,0.5121951219512195,67.60975609756098,63.58536585365854,-24,5957,11.360164318060427,159.9693057180965,0.6052631578947368,68.5,42.85526315789474,-19
2025-02-09 22:18:49.125934,40,31210.874066,22.31361111111111,3,77,23,1,-35.083333333333336,42.1,0.0,21.9,-20.200000000000003,32.8,-9.300000000000004,14.7,-27.400000000000002,0.0,0.0,0.0,0.0,0.0,2.0,42.1,0.0,31.7,10.400000000000002,0.0,0.0,0.0,0.0,0.0,40.7,1.3999999999999986,30.3,11.8,0.0,0.0,0.0,0.0,0.0,18.434483957916697,23,24,2.0816659994661326,8.660254037844387,0.6666666666666666,76.33333333333333,8.0,-3,1173,1.9594095320493148,350.7913502761598,0.75,75.875,132.0,-3,4205,13.218458392582049,213.08449846087012,0.5238095238095238,67.83333333333333,62.142857142857146,-23,5946,11.34709175198959,160.00073464743622,0.6052631578947368,68.73684210526316,42.71052631578947,-18
2025-02-09 22:19:23.057252,40,31176.942748,22.323055555555555,10,79,21,0,-35.083333333333336,42.1,0.0,21.9,-20.200000000000003,32.8,-9.300000000000004,14.7,-27.400000000000002,0.0,0.0,0.0,0.0,0.0,2.0,42.1,0.0,31.7,10.400000000000002,0.0,0.0,0.0,0.0,0.0,40.7,1.3999999999999986,30.3,11.8,0.0,0.0,0.0,0.0,0.0,16.439293790224383,-21,34,2.160246899469287,7.14142842854285,0.5,77.0,8.5,-5,1183,2.1081851067789192,330.64562265025944,0.6666666666666666,76.22222222222223,118.44444444444444,-5,4215,13.170699720155111,210.68260887714,0.5116279069767442,68.09302325581395,60.93023255813954,-25,5956,11.332708425000167,158.98831942720105,0.5974025974025974,68.87012987012987,42.285714285714285,-20
2025-02-09 22:19:23.058247,40,31176.941753,22.323055555555555,10,24,76,0,5.416666666666664,1.6000000000000014,0.0,-18.6,-20.200000000000003,-7.700000000000003,-9.300000000000004,-25.8,-27.400000000000002,0.0,0.0,0.0,0.0,0.0,2.0,1.6000000000000014,0.0,-8.8,10.400000000000002,0.0,0.0,0.0,0.0,0.0,0.20000000000000284,1.3999999999999986,-10.2,11.8,0.0,0.0,0.0,0.0,0.0,-16.520052168242586,24,44,,,0.0,24.0,10.0,0,1193,1.3038404810405297,7.52994023880668,0.6,25.8,8.2,3,4225,11.6282096532639,31.455838968223453,0.5178571428571429,34.05357142857143,19.803571428571427,14,5966,10.871647209059052,36.56964456956883,0.573170731707317,31.829268292682926,20.524390243902438,2
