time,day_of_year,time_to_strike,time_of_day,count,yes_price,no_price,taker_side,shift,DF_temperature_2m_max,DF_temperature_2m_max_dev,DF_temperature_2m_min,DF_temperature_2m_min_dev,DF_apparent_temperature_max,DF_apparent_temperature_max_dev,DF_apparent_temperature_min,DF_apparent_temperature_min_dev,DF_showers_sum,DF_snowfall_sum,DF_precipitation_sum,DF_precipitation_hours,DF_rain_sum,DF_precipitation_probability_max,DF_wind_gusts_10m_max,DF_wind_speed_10m_max,DF_daylight_duration,DF_sunshine_duration,DF_cloud_cover_max,DF_cloud_cover_min,CF_temperature_2m,CF_temperature_2m_dev,CF_apparent_temperature,CF_apparent_temperature_dev,CF_precipitation_probability,CF_precipitation,CF_rain,CF_showers,CF_snowfall,CF_cloud_cover_high,CF_cloud_cover,CF_wind_speed_10m,CF_wind_gusts_10m,CF_cloud_cover_mid,STF_temperature_2m,STF_temperature_2m_dev,STF_apparent_temperature,STF_apparent_temperature_dev,STF_precipitation_probability,STF_precipitation,STF_rain,STF_showers,STF_snowfall,STF_cloud_cover_high,STF_cloud_cover,STF_wind_speed_10m,STF_wind_gusts_10m,STF_cloud_cover_mid,impact,result,count_agg_2,yes_price_vol_2,count_vol_2,taker_side_sentiment_2,yes_price_sentiment_2,count_sentiment_2,yes_price_trend_2,count_agg_5,yes_price_vol_5,count_vol_5,taker_side_sentiment_5,yes_price_sentiment_5,count_sentiment_5,yes_price_trend_5,count_agg_15,yes_price_vol_15,count_vol_15,taker_side_sentiment_15,yes_price_sentiment_15,count_sentiment_15,yes_price_trend_15,count_agg_60,yes_price_vol_60,count_vol_60,taker_side_sentiment_60,yes_price_sentiment_60,count_sentiment_60,yes_price_trend_60,count_agg_120,yes_price_vol_120,count_vol_120,taker_side_sentiment_120,yes_price_sentiment_120,count_sentiment_120,yes_price_trend_120
2025-05-13 14:15:25.758179,133,135814.241821,14.256944444444445,30,53,47,1,3.0,-1.0999999999999943,3.1000000000000085,-18.400000000000006,-14.200000000000003,10.400000000000006,14.600000000000009,-16.0,-11.799999999999997,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-4.200000000000003,3.1000000000000085,7.099999999999994,-8.199999999999989,8,0.0,0.0,0.0,0.0,0,16,10.5,13.3,0,-4.0,2.9000000000000057,7.299999999999997,-8.399999999999991,9,0.0,0.0,0.0,0.0,0,100,8.0,11.2,0,-25.98529057149747,-53,30,,,1.0,53.0,30.0,0,30,,,1.0,53.0,30.0,0,30,,,1.0,53.0,30.0,0,30,,,1.0,53.0,30.0,0,30,,,1.0,53.0,30.0,0
2025-05-13 15:19:04.480741,133,131995.519259,15.317777777777778,18,55,45,0,3.0,-1.0999999999999943,2.9000000000000057,-18.400000000000006,-14.400000000000006,10.400000000000006,14.400000000000006,-16.0,-12.0,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-4.0,2.9000000000000057,7.299999999999997,-8.399999999999991,9,0.0,0.0,0.0,0.0,0,100,8.0,11.2,0,-5.900000000000006,4.800000000000011,1.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-28.174641729414617,55,18,,,0.0,55.0,18.0,0,18,,,0.0,55.0,18.0,0,18,,,0.0,55.0,18.0,0,18,,,0.0,55.0,18.0,0,48,1.4142135623730951,8.48528137423857,0.5,54.0,24.0,-2
2025-05-13 15:19:04.805415,133,131995.194585,15.317777777777778,18,18,82,0,5.0,-3.0999999999999943,2.9000000000000057,-20.400000000000006,-14.400000000000006,8.400000000000006,14.400000000000006,-18.0,-12.0,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-6.0,2.9000000000000057,5.299999999999997,-8.399999999999991,9,0.0,0.0,0.0,0.0,0,100,8.0,11.2,0,-7.900000000000006,4.800000000000011,-0.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,48.97723395879805,-82,36,,,0.0,18.0,18.0,0,36,,,0.0,18.0,18.0,0,36,,,0.0,18.0,18.0,0,36,,,0.0,18.0,18.0,0,66,,,0.0,18.0,18.0,0
2025-05-13 15:52:37.219808,133,129982.780192,15.876944444444446,55,6,94,1,-1.0,2.9000000000000057,2.9000000000000057,-14.400000000000006,-14.400000000000006,14.400000000000006,14.400000000000006,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,0.0,2.9000000000000057,11.299999999999997,-8.399999999999991,9,0.0,0.0,0.0,0.0,0,100,8.0,11.2,0,-1.9000000000000057,4.800000000000011,5.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-0.5355784899511136,-6,72,1.4142135623730951,26.870057685088806,1.0,7.0,36.0,-2,72,1.4142135623730951,26.870057685088806,1.0,7.0,36.0,-2,72,1.4142135623730951,26.870057685088806,1.0,7.0,36.0,-2,108,1.4142135623730951,26.870057685088806,1.0,7.0,36.0,-2,138,1.4142135623730951,26.870057685088806,1.0,7.0,36.0,-2
2025-05-13 15:52:37.219808,133,129982.780192,15.876944444444446,17,8,92,1,-1.0,2.9000000000000057,2.9000000000000057,-14.400000000000006,-14.400000000000006,14.400000000000006,14.400000000000006,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,0.0,2.9000000000000057,11.299999999999997,-8.399999999999991,9,0.0,0.0,0.0,0.0,0,100,8.0,11.2,0,-1.9000000000000057,4.800000000000011,5.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-2.552071668533035,-8,72,1.4142135623730951,26.870057685088806,1.0,7.0,36.0,-2,72,1.4142135623730951,26.870057685088806,1.0,7.0,36.0,-2,72,1.4142135623730951,26.870057685088806,1.0,7.0,36.0,-2,108,1.4142135623730951,26.870057685088806,1.0,7.0,36.0,-2,138,1.4142135623730951,26.870057685088806,1.0,7.0,36.0,-2
2025-05-13 16:01:06.873219,133,129473.126781,16.01833333333333,46,21,79,1,5.0,-3.0999999999999943,4.800000000000011,-20.400000000000006,-12.5,8.400000000000006,16.30000000000001,-18.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-7.900000000000006,4.800000000000011,-0.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-7.099999999999994,4.0,0.29999999999999716,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,46.03514188124015,79,46,,,1.0,21.0,46.0,0,46,,,1.0,21.0,46.0,0,118,,,1.0,21.0,46.0,0,154,2.1213203435596424,19.79898987322333,0.5,19.5,32.0,-3,184,2.1213203435596424,19.79898987322333,0.5,19.5,32.0,-3
2025-05-13 16:03:39.539282,133,129320.460718,16.060833333333335,1,55,45,1,3.0,-1.0999999999999943,4.800000000000011,-18.400000000000006,-12.5,10.400000000000006,16.30000000000001,-16.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-5.900000000000006,4.800000000000011,1.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-5.099999999999994,4.0,2.299999999999997,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,-28.29836545498902,-55,1,,,1.0,55.0,1.0,0,47,,,1.0,55.0,1.0,0,119,,,1.0,55.0,1.0,0,155,0.0,12.020815280171307,0.5,55.0,9.5,0,185,1.1547005383792517,14.571661996262929,0.6666666666666666,54.333333333333336,16.333333333333332,-2
2025-05-13 16:05:37.821537,133,129202.178463,16.09361111111111,5,20,80,1,5.0,-3.0999999999999943,4.800000000000011,-20.400000000000006,-12.5,8.400000000000006,16.30000000000001,-18.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-7.900000000000006,4.800000000000011,-0.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-7.099999999999994,4.0,0.29999999999999716,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,47.17466069310845,80,6,,,1.0,20.0,5.0,0,52,0.7071067811865476,28.991378028648448,1.0,20.5,25.5,1,124,0.7071067811865476,28.991378028648448,1.0,20.5,25.5,1,160,1.5275252316519468,20.952326839756964,0.6666666666666666,19.666666666666668,23.0,-2,190,1.5275252316519468,20.952326839756964,0.6666666666666666,19.666666666666668,23.0,-2
2025-05-13 16:12:22.828880,133,128797.17112,16.20611111111111,36,23,77,0,5.0,-3.0999999999999943,4.800000000000011,-20.400000000000006,-12.5,8.400000000000006,16.30000000000001,-18.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-7.900000000000006,4.800000000000011,-0.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-7.099999999999994,4.0,0.29999999999999716,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,44.190206287484344,-77,36,,,0.0,23.0,36.0,0,36,,,0.0,23.0,36.0,0,88,1.5275252316519465,21.37755832643195,0.6666666666666666,21.333333333333332,29.0,-2,196,2.0816659994661326,18.300728582946274,0.5,20.5,26.25,-5,226,2.0816659994661326,18.300728582946274,0.5,20.5,26.25,-5
2025-05-13 16:15:39.635653,133,128600.364347,16.260833333333334,38,19,81,1,5.0,-3.0999999999999943,4.800000000000011,-20.400000000000006,-12.5,8.400000000000006,16.30000000000001,-18.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-7.900000000000006,4.800000000000011,-0.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-7.099999999999994,4.0,0.29999999999999716,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,48.29530290017837,81,38,,,1.0,19.0,38.0,0,74,2.8284271247461903,1.4142135623730951,0.5,21.0,37.0,4,126,1.707825127659933,18.02544497832624,0.75,20.75,31.25,2,234,1.9235384061671346,16.697305171793438,0.6,20.2,28.6,-1,234,1.9235384061671346,16.697305171793438,0.6,20.2,28.6,-1
2025-05-13 16:20:32.368812,133,128307.631188,16.342222222222222,5,18,82,1,5.0,-3.0999999999999943,4.800000000000011,-20.400000000000006,-12.5,8.400000000000006,16.30000000000001,-18.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-7.900000000000006,4.800000000000011,-0.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-7.099999999999994,4.0,0.29999999999999716,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,49.41684879793364,82,5,,,1.0,18.0,5.0,0,43,0.7071067811865476,23.33452377915607,1.0,18.5,21.5,1,84,2.160246899469287,18.49324200890693,0.75,20.0,21.0,2,203,1.9235384061671346,19.53202498462461,0.8,20.2,26.0,3,239,1.9407902170679516,17.772638145944082,0.6666666666666666,19.833333333333332,24.666666666666668,0
2025-05-13 16:39:30.251721,133,127169.748279,16.65833333333333,15,19,81,0,5.0,-3.0999999999999943,4.800000000000011,-20.400000000000006,-12.5,8.400000000000006,16.30000000000001,-18.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-7.900000000000006,4.800000000000011,-0.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-7.099999999999994,4.0,0.29999999999999716,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,48.43321849741619,-81,15,,,0.0,19.0,15.0,0,15,,,0.0,19.0,15.0,0,15,,,0.0,19.0,15.0,0,218,1.7888543819998317,18.03792301421277,0.6666666666666666,20.0,24.166666666666668,2,254,1.7994708216848745,16.630436812406,0.5714285714285714,19.714285714285715,23.285714285714285,-1
2025-05-13 16:39:30.252691,133,127169.747309,16.65833333333333,15,4,96,0,-5.0,6.900000000000006,4.800000000000011,-10.400000000000006,-12.5,18.400000000000006,16.30000000000001,-8.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,2.0999999999999943,4.800000000000011,9.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,2.9000000000000057,4.0,10.299999999999997,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,-1.0212765957446805,4,30,,,0.0,4.0,15.0,0,30,,,0.0,4.0,15.0,0,30,,,0.0,4.0,15.0,0,233,,,0.0,4.0,15.0,0,269,,,0.0,4.0,15.0,0
2025-05-13 16:39:30.256531,133,127169.743469,16.65833333333333,15,4,96,0,-3.0,4.900000000000006,4.800000000000011,-12.400000000000006,-12.5,16.400000000000006,16.30000000000001,-10.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,0.09999999999999432,4.800000000000011,7.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,0.9000000000000057,4.0,8.299999999999997,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,0.002732240437154587,4,45,,,0.0,4.0,15.0,0,45,,,0.0,4.0,15.0,0,45,,,0.0,4.0,15.0,0,248,,,0.0,4.0,15.0,0,284,,,0.0,4.0,15.0,0
2025-05-13 16:39:30.256767,133,127169.743233,16.65833333333333,15,21,79,0,1.0,0.9000000000000057,4.800000000000011,-16.400000000000006,-12.5,12.400000000000006,16.30000000000001,-14.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-3.9000000000000057,4.800000000000011,3.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-3.0999999999999943,4.0,4.299999999999997,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,-12.052740629120365,21,60,,,0.0,21.0,15.0,0,60,,,0.0,21.0,15.0,0,60,,,0.0,21.0,15.0,0,263,,,0.0,21.0,15.0,0,299,,,0.0,21.0,15.0,0
2025-05-13 16:39:30.301473,133,127169.698527,16.65833333333333,15,5,95,0,-1.0,2.9000000000000057,4.800000000000011,-14.400000000000006,-12.5,14.400000000000006,16.30000000000001,-12.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-1.9000000000000057,4.800000000000011,5.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-1.0999999999999943,4.0,6.299999999999997,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,0.4234030525720698,5,75,,,0.0,5.0,15.0,0,75,,,0.0,5.0,15.0,0,75,,,0.0,5.0,15.0,0,278,1.5275252316519465,22.538855339169288,0.6666666666666666,6.333333333333333,29.0,1,314,1.5275252316519465,22.538855339169288,0.6666666666666666,6.333333333333333,29.0,1
2025-05-13 16:39:30.301867,133,127169.698133,16.65833333333333,15,54,46,0,3.0,-1.0999999999999943,4.800000000000011,-18.400000000000006,-12.5,10.400000000000006,16.30000000000001,-16.0,-10.099999999999994,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-5.900000000000006,4.800000000000011,1.5,-2.5999999999999943,7,0.0,0.0,0.0,0.0,0,74,8.7,11.2,0,-5.099999999999994,4.0,2.299999999999997,-3.3999999999999915,4,0.0,0.0,0.0,0.0,0,27,8.4,11.9,0,-27.305270863836014,54,90,,,0.0,54.0,15.0,0,90,,,0.0,54.0,15.0,0,90,,,0.0,54.0,15.0,0,293,0.7071067811865476,9.899494936611665,0.5,54.5,8.0,1,329,0.5773502691896258,9.073771725877465,0.3333333333333333,54.666666666666664,11.333333333333334,1
2025-05-13 18:04:47.252017,133,122052.747983,18.079722222222223,7,20,80,0,5.0,-3.0999999999999943,5.1000000000000085,-20.400000000000006,-12.200000000000003,8.400000000000006,16.60000000000001,-18.0,-9.799999999999997,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-8.200000000000003,5.1000000000000085,0.20000000000000284,-3.299999999999997,1,0.0,0.0,0.0,0.0,0,35,8.8,10.4,0,-10.5,7.400000000000006,-3.0999999999999943,0.0,0,0.0,0.0,0.0,0.0,0,2,10.4,14.4,0,47.48139797068771,-80,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,235,1.5526475085202969,14.0,0.375,19.875,20.0,1
2025-05-13 18:04:47.252017,133,122052.747983,18.079722222222223,22,21,79,0,5.0,-3.0999999999999943,5.1000000000000085,-20.400000000000006,-12.200000000000003,8.400000000000006,16.60000000000001,-18.0,-9.799999999999997,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-8.200000000000003,5.1000000000000085,0.20000000000000284,-3.299999999999997,1,0.0,0.0,0.0,0.0,0,35,8.8,10.4,0,-10.5,7.400000000000006,-3.0999999999999943,0.0,0,0.0,0.0,0.0,0.0,0,2,10.4,14.4,0,46.50345010615712,-79,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,235,1.5526475085202969,14.0,0.375,19.875,20.0,1
2025-05-13 18:04:47.252017,133,122052.747983,18.079722222222223,32,19,81,0,5.0,-3.0999999999999943,5.1000000000000085,-20.400000000000006,-12.200000000000003,8.400000000000006,16.60000000000001,-18.0,-9.799999999999997,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-8.200000000000003,5.1000000000000085,0.20000000000000284,-3.299999999999997,1,0.0,0.0,0.0,0.0,0,35,8.8,10.4,0,-10.5,7.400000000000006,-3.0999999999999943,0.0,0,0.0,0.0,0.0,0.0,0,2,10.4,14.4,0,48.57142857142857,-81,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,61,1.0,12.583057392117915,0.0,20.0,20.333333333333332,1,235,1.5526475085202969,14.0,0.375,19.875,20.0,1
2025-05-13 18:06:34.541374,133,121945.458626,18.109444444444446,1,21,79,1,1.0,0.9000000000000057,5.1000000000000085,-16.400000000000006,-12.200000000000003,12.400000000000006,16.60000000000001,-14.0,-9.799999999999997,0.0,0.0,0.0,0.0,0.0,0,24.1,18.7,48214.31,45345.71,44,0,-4.200000000000003,5.1000000000000085,4.200000000000003,-3.299999999999997,1,0.0,0.0,0.0,0.0,0,35,8.8,10.4,0,-6.5,7.400000000000006,0.9000000000000057,0.0,0,0.0,0.0,0.0,0.0,0,2,10.4,14.4,0,-12.086890819795995,-21,62,,,1.0,21.0,1.0,0,62,,,1.0,21.0,1.0,0,62,,,1.0,21.0,1.0,0,62,,,1.0,21.0,1.0,0,231,0.0,9.899494936611665,0.5,21.0,8.0,0
