time,day_of_year,time_to_strike,time_of_day,count,yes_price,no_price,taker_side,shift,DF_temperature_2m_max,DF_temperature_2m_max_dev,DF_temperature_2m_min,DF_temperature_2m_min_dev,DF_apparent_temperature_max,DF_apparent_temperature_max_dev,DF_apparent_temperature_min,DF_apparent_temperature_min_dev,DF_showers_sum,DF_snowfall_sum,DF_precipitation_sum,DF_precipitation_hours,DF_rain_sum,DF_precipitation_probability_max,CF_temperature_2m,CF_temperature_2m_dev,CF_apparent_temperature,CF_apparent_temperature_dev,CF_precipitation_probability,CF_precipitation,CF_rain,CF_showers,CF_snowfall,STF_temperature_2m,STF_temperature_2m_dev,STF_apparent_temperature,STF_apparent_temperature_dev,STF_precipitation_probability,STF_precipitation,STF_rain,STF_showers,STF_snowfall,impact,result,count_agg_2,yes_price_vol_2,count_vol_2,taker_side_sentiment_2,yes_price_sentiment_2,count_sentiment_2,yes_price_trend_2,count_agg_15,yes_price_vol_15,count_vol_15,taker_side_sentiment_15,yes_price_sentiment_15,count_sentiment_15,yes_price_trend_15,count_agg_60,yes_price_vol_60,count_vol_60,taker_side_sentiment_60,yes_price_sentiment_60,count_sentiment_60,yes_price_trend_60,count_agg_120,yes_price_vol_120,count_vol_120,taker_side_sentiment_120,yes_price_sentiment_120,count_sentiment_120,yes_price_trend_120
2025-03-30 14:01:15.720376,89,136664.279624,14.020833333333334,20,40,60,1,1.0,-2.4000000000000057,4.799999999999997,-14.0,-6.799999999999997,7.400000000000006,14.600000000000009,-8.799999999999997,-1.5999999999999943,0.0,0.0,25.1,3.0,25.1,43.0,-7.200000000000003,4.799999999999997,-2.299999999999997,-0.10000000000000853,10.0,0.0,0.0,0.0,0.0,-6.400000000000006,4.0,-0.9000000000000057,-1.5,7.0,0.0,0.0,0.0,0.0,-16.151424107679365,-40,20,,,1.0,40.0,20.0,0,20,,,1.0,40.0,20.0,0,20,,,1.0,40.0,20.0,0,20,,,1.0,40.0,20.0,0
2025-03-30 14:12:23.758771,89,135996.241229,14.206388888888888,10,15,85,1,-1.0,-0.4000000000000057,4.799999999999997,-12.0,-6.799999999999997,9.400000000000006,14.600000000000009,-6.799999999999997,-1.5999999999999943,0.0,0.0,25.1,3.0,25.1,43.0,-5.200000000000003,4.799999999999997,-0.29999999999999716,-0.10000000000000853,10.0,0.0,0.0,0.0,0.0,-4.400000000000006,4.0,1.0999999999999943,-1.5,7.0,0.0,0.0,0.0,0.0,-0.7154784842646116,-15,10,,,1.0,15.0,10.0,0,30,,,1.0,15.0,10.0,0,30,,,1.0,15.0,10.0,0,30,,,1.0,15.0,10.0,0
2025-03-30 14:12:23.882005,89,135996.117995,14.206388888888888,21,44,56,1,1.0,-2.4000000000000057,4.799999999999997,-14.0,-6.799999999999997,7.400000000000006,14.600000000000009,-8.799999999999997,-1.5999999999999943,0.0,0.0,25.1,3.0,25.1,43.0,-7.200000000000003,4.799999999999997,-2.299999999999997,-0.10000000000000853,10.0,0.0,0.0,0.0,0.0,-6.400000000000006,4.0,-0.9000000000000057,-1.5,7.0,0.0,0.0,0.0,0.0,-20.190338513432117,-44,36,0.0,11.313708498984761,1.0,44.0,13.0,0,56,2.309401076758503,8.962886439832502,1.0,42.666666666666664,15.333333333333334,-4,56,2.309401076758503,8.962886439832502,1.0,42.666666666666664,15.333333333333334,-4,56,2.309401076758503,8.962886439832502,1.0,42.666666666666664,15.333333333333334,-4
2025-03-30 14:12:23.882005,89,135996.117995,14.206388888888888,5,44,56,1,1.0,-2.4000000000000057,4.799999999999997,-14.0,-6.799999999999997,7.400000000000006,14.600000000000009,-8.799999999999997,-1.5999999999999943,0.0,0.0,25.1,3.0,25.1,43.0,-7.200000000000003,4.799999999999997,-2.299999999999997,-0.10000000000000853,10.0,0.0,0.0,0.0,0.0,-6.400000000000006,4.0,-0.9000000000000057,-1.5,7.0,0.0,0.0,0.0,0.0,-20.241545893719806,-44,36,0.0,11.313708498984761,1.0,44.0,13.0,0,56,2.309401076758503,8.962886439832502,1.0,42.666666666666664,15.333333333333334,-4,56,2.309401076758503,8.962886439832502,1.0,42.666666666666664,15.333333333333334,-4,56,2.309401076758503,8.962886439832502,1.0,42.666666666666664,15.333333333333334,-4
2025-03-30 14:12:24.248239,89,135995.751761,14.206666666666665,22,10,90,0,3.5,-4.900000000000006,4.799999999999997,-16.5,-6.799999999999997,4.900000000000006,14.600000000000009,-11.299999999999997,-1.5999999999999943,0.0,0.0,25.1,3.0,25.1,43.0,-9.700000000000003,4.799999999999997,-4.799999999999997,-0.10000000000000853,10.0,0.0,0.0,0.0,0.0,-8.900000000000006,4.0,-3.4000000000000057,-1.5,7.0,0.0,0.0,0.0,0.0,0.3569870827042507,10,58,,,0.0,10.0,22.0,0,78,,,0.0,10.0,22.0,0,78,,,0.0,10.0,22.0,0,78,,,0.0,10.0,22.0,0
2025-03-30 14:12:24.297908,89,135995.702092,14.206666666666665,24,10,90,0,3.5,-4.900000000000006,4.799999999999997,-16.5,-6.799999999999997,4.900000000000006,14.600000000000009,-11.299999999999997,-1.5999999999999943,0.0,0.0,25.1,3.0,25.1,43.0,-9.700000000000003,4.799999999999997,-4.799999999999997,-0.10000000000000853,10.0,0.0,0.0,0.0,0.0,-8.900000000000006,4.0,-3.4000000000000057,-1.5,7.0,0.0,0.0,0.0,0.0,0.3583094797103854,10,82,0.0,1.4142135623730951,0.0,10.0,23.0,0,102,0.0,1.4142135623730951,0.0,10.0,23.0,0,102,0.0,1.4142135623730951,0.0,10.0,23.0,0,102,0.0,1.4142135623730951,0.0,10.0,23.0,0
2025-03-30 14:15:55.361073,89,135784.638927,14.265277777777778,44,7,93,1,3.5,-4.900000000000006,4.799999999999997,-16.5,-6.799999999999997,4.900000000000006,14.600000000000009,-11.299999999999997,-1.5999999999999943,0.0,0.0,25.1,3.0,25.1,43.0,-9.700000000000003,4.799999999999997,-4.799999999999997,-0.10000000000000853,10.0,0.0,0.0,0.0,0.0,-8.900000000000006,4.0,-3.4000000000000057,-1.5,7.0,0.0,0.0,0.0,0.0,3.3597633136094682,-7,44,,,1.0,7.0,44.0,0,146,1.7320508075688772,12.165525060596439,0.3333333333333333,9.0,30.0,3,146,1.7320508075688772,12.165525060596439,0.3333333333333333,9.0,30.0,3,146,1.7320508075688772,12.165525060596439,0.3333333333333333,9.0,30.0,3
2025-03-30 14:57:16.778557,89,133303.221443,14.954444444444444,10,17,83,1,-1.0,-0.4000000000000057,4.799999999999997,-12.0,-6.799999999999997,9.400000000000006,14.600000000000009,-6.799999999999997,-1.5999999999999943,0.0,0.0,25.1,3.0,25.1,43.0,-5.200000000000003,4.799999999999997,-0.29999999999999716,-0.10000000000000853,10.0,0.0,0.0,0.0,0.0,-4.400000000000006,4.0,1.0999999999999943,-1.5,7.0,0.0,0.0,0.0,0.0,-2.717783505154639,-17,10,,,1.0,17.0,10.0,0,10,,,1.0,17.0,10.0,0,156,1.4142135623730951,0.0,1.0,16.0,10.0,-2,156,1.4142135623730951,0.0,1.0,16.0,10.0,-2
2025-03-30 15:00:22.464453,89,133117.535547,15.00611111111111,5,50,50,1,1.0,-2.4000000000000057,4.0,-14.0,-7.599999999999994,7.400000000000006,13.800000000000011,-8.799999999999997,-2.3999999999999915,0.0,0.0,25.1,3.0,25.1,43.0,-6.400000000000006,4.0,-0.9000000000000057,-1.5,7.0,0.0,0.0,0.0,0.0,-5.299999999999997,2.8999999999999915,-0.5999999999999943,-1.8000000000000114,10.0,0.0,0.0,0.0,0.0,-26.253776435045317,-50,5,,,1.0,50.0,5.0,0,15,,,1.0,50.0,5.0,0,161,4.123105625617661,8.958236433584458,1.0,44.5,12.75,-10,161,4.123105625617661,8.958236433584458,1.0,44.5,12.75,-10
2025-03-30 15:00:33.363284,89,133106.636716,15.009166666666667,6,26,74,1,-1.0,-0.4000000000000057,4.0,-12.0,-7.599999999999994,9.400000000000006,13.800000000000011,-6.799999999999997,-2.3999999999999915,0.0,0.0,25.1,3.0,25.1,43.0,-4.400000000000006,4.0,1.0999999999999943,-1.5,7.0,0.0,0.0,0.0,0.0,-3.299999999999997,2.8999999999999915,1.4000000000000057,-1.8000000000000114,10.0,0.0,0.0,0.0,0.0,-11.726567550096961,-26,16,0.0,0.7071067811865476,1.0,26.0,5.5,0,26,5.196152422706632,2.6457513110645907,1.0,23.0,7.0,-9,172,5.830951894845301,2.6299556396765835,1.0,21.0,7.75,-11,172,5.830951894845301,2.6299556396765835,1.0,21.0,7.75,-11
