time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,kalshi_forecast_delta,strike_m_3.5,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_3.5,entropy,impact,result,outcome
2025-02-06 10:28:05.772539,e5520b33-cb84-4446-8cc1-ad32ba539d6d,KXHIGHMIA-25FEB07-T81,135054.227,17,3.5,81.0,83.7,54,46,0,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,54.0,-215.405,-45.0,-46,1
2025-02-06 11:56:16.597451,84d62149-a582-4b01-8b02-ef6092d36fce,KXHIGHMIA-25FEB07-B80.5,129763.403,1,3.0,80.83,83.7,25,75,0,0.33,3.2,2.87,0.0,0.0,0.0,0.0,25.0,48.6,-269.216,24.0,25,0
2025-02-06 12:23:16.562226,e92f646c-04c3-428b-9d9f-70e7718c671c,KXHIGHMIA-25FEB07-B80.5,128143.438,35,3.0,80.809,83.7,27,73,1,0.309,3.2,2.891,0.0,0.0,0.0,0.0,27.0,43.74,-254.249,-26.0,-27,0
2025-02-06 14:09:28.736389,1b1c29cc-746f-44e9-af71-1eb25b939081,KXHIGHMIA-25FEB07-B80.5,121771.264,11,3.0,80.78,83.7,31,69,0,0.28,3.2,2.92,0.0,0.0,0.0,0.0,31.0,39.366,-251.041,30.0,31,0
2025-02-06 14:10:54.207393,60cad525-48c7-48da-ad53-8f6f5f22a89b,KXHIGHMIA-25FEB07-B80.5,121685.793,240,3.0,80.759,83.7,33,67,1,0.259,3.2,2.941,0.0,0.0,0.0,0.0,33.0,35.429,-241.781,-32.0,-33,0
2025-02-06 14:10:54.207393,4fbf758c-0293-4478-8d64-679e0c6f02eb,KXHIGHMIA-25FEB07-B80.5,121685.793,240,3.0,80.738,83.7,35,65,1,0.238,3.2,2.962,0.0,0.0,0.0,0.0,35.0,31.886,-234.834,-34.0,-35,0
2025-02-06 14:27:27.738540,f7554162-e79e-46b9-b3e8-4177cf2764a7,KXHIGHMIA-25FEB07-B80.5,120692.261,97,3.0,80.74,83.7,31,69,0,0.24,3.2,2.96,0.0,0.0,0.0,0.0,31.0,28.698,-202.787,30.0,31,0
2025-02-06 14:30:27.166403,f6fdb304-52e7-4314-b859-5c4e885882a3,KXHIGHMIA-25FEB07-B80.5,120512.834,19,3.0,80.727,83.7,31,69,0,0.227,3.2,2.973,0.0,0.0,0.0,0.0,31.0,25.828,-190.432,30.0,31,0
2025-02-06 14:33:27.588293,ea3ab2a1-2da3-4034-8bf7-f1eef6f5cde7,KXHIGHMIA-25FEB07-B80.5,120332.412,5,3.0,80.714,83.7,31,69,0,0.214,3.2,2.986,0.0,0.0,0.0,0.0,31.0,23.245,-179.585,30.0,31,0
2025-02-06 15:41:00.297531,c5124e52-abbb-438a-bf4f-755700525e8a,KXHIGHMIA-25FEB07-B80.5,116279.702,240,3.0,80.694,83.7,33,67,1,0.194,3.2,3.006,0.0,0.0,0.0,0.0,33.0,20.921,-178.999,-32.0,-33,0
