date,profit,quantity,volume,fees_paid,avg_profit,sharpe
2025-05-29,-15.530000000000143,190,102.63999999999994,3.6700000000000017,-15.530000000000143,-15.530000000000143
2025-05-30,-14.360000000000412,305,154.83,5.769999999999962,-14.945000000000277,-14.945000000000277
2025-05-31,-4.050000000000125,160,74.4,2.8899999999999983,-11.31333333333356,-2.193307482923351
2025-06-01,42.92000000000007,151,76.28,2.8199999999999994,2.2449999999998482,0.09391416322197008
2025-06-02,-10.350000000000023,119,35.080000000000005,2.129999999999999,-0.274000000000126,-0.012473459353242684
2025-06-03,28.01000000000022,213,114.75000000000003,4.06,4.439999999999931,0.19598875573876776
2025-06-04,13.740000000000009,195,78.03999999999996,3.76,5.768571428571371,0.2717840695574515
2025-06-05,17.96000000000049,166,93.40999999999997,3.1100000000000003,7.292500000000011,0.3599585341504671
2025-06-06,-6.0499999999999545,166,91.06999999999998,3.019999999999998,5.810000000000015,0.2971035234497985
2025-06-07,22.029999999999973,117,60.38999999999999,2.160000000000001,7.432000000000011,0.3874972695659895
