date,profit,quantity,volume,fees_paid,avg_profit,sharpe
2025-05-29,-6.4300000000001205,70,33.179999999999986,1.3100000000000007,-6.4300000000001205,-6.4300000000001205
2025-05-30,-3.1699999999998454,172,103.72999999999995,3.2400000000000007,-4.799999999999983,-2.9447852760733606
2025-05-31,38.94999999999936,151,76.77,2.5399999999999965,9.783333333333132,0.47338300826014146
2025-06-01,-13.24999999999983,116,58.97,2.2600000000000007,4.024999999999892,0.1964433751302765
2025-06-02,19.149999999999864,113,51.369999999999976,2.1200000000000006,7.049999999999886,0.3653027448971639
2025-06-03,-15.359999999999673,170,90.25999999999998,3.1000000000000005,3.31499999999996,0.17002699667705293
2025-06-04,49.25,217,132.46000000000006,4.209999999999997,9.877142857142823,0.4086507231033335
2025-06-05,11.940000000000055,117,65.38999999999999,2.1700000000000004,10.134999999999977,0.4480670787823536
2025-06-06,-16.200000000000216,151,91.32999999999998,2.910000000000001,7.208888888888844,0.31513687321378153
2025-06-07,-10.78000000000003,131,74.70000000000005,2.5000000000000004,5.409999999999957,0.24192309565429224
