date,profit,quantity,volume,fees_paid,avg_profit,sharpe
2025-05-22,27.789999999999168,154,95.34999999999991,2.0600000000000005,27.789999999999168,27.789999999999168
2025-05-23,5.499999999999375,152,117.89000000000003,2.030000000000001,16.64499999999927,1.4934948407357045
2025-05-24,39.109999999999786,181,116.84000000000009,2.8700000000000023,24.133333333332775,1.7284117171115008
2025-05-25,0.0,0,0.0,0.0,18.099999999999582,1.132530239460286
2025-05-26,3.6699999999989927,230,158.45000000000007,3.779999999999996,15.213999999999464,0.9868963818445906
2025-05-27,-32.050000000001205,127,80.40000000000006,1.9300000000000013,7.336666666666019,0.3254138706235021
2025-05-28,-4.620000000001141,384,246.14000000000007,6.8399999999999395,5.6285714285707105,0.26439598413398147
2025-05-29,-29.990000000000578,245,128.61,3.9599999999999933,1.1762499999992997,0.05083903324079453
2025-05-30,8.1099999999999,173,101.00000000000018,2.3899999999999944,1.946666666666033,0.08879925418218246
2025-05-31,7.849999999999966,135,100.10999999999987,2.0400000000000005,2.536999999999426,0.1215480424694769
