date,profit,quantity,volume,fees_paid,avg_profit,sharpe
2025-05-28,24.24000000000001,76,37.77,1.4900000000000009,24.24000000000001,24.24000000000001
2025-05-29,-9.6099999999999,57,13.530000000000003,1.0400000000000005,7.315000000000055,0.4322008862629291
2025-05-30,-0.24999999999994316,56,27.68,1.0700000000000005,4.793333333333389,0.3358573722156716
2025-05-31,-2.229999999999734,67,31.679999999999996,1.3100000000000007,3.037500000000108,0.23863758753560246
2025-06-01,-0.5199999999998113,44,17.889999999999997,0.7700000000000004,2.326000000000124,0.20273139679610253
2025-06-02,29.090000000000032,114,55.71,2.180000000000001,6.786666666666775,0.4692358195334192
2025-06-03,-14.849999999999966,78,34.25,1.4600000000000009,3.695714285714384,0.2402523728511987
2025-06-04,7.940000000000396,185,104.67000000000006,3.370000000000001,4.226250000000135,0.2923235707305179
2025-06-05,4.289999999999793,55,29.110000000000007,0.9800000000000005,4.23333333333343,0.31057529721463994
2025-06-06,10.560000000000173,93,51.29999999999998,1.8000000000000012,4.8660000000001045,0.3723118284239995
