date,profit,quantity,volume,fees_paid,avg_profit,sharpe
2025-05-28,10.510000000000218,185,99.85999999999997,3.5500000000000003,10.510000000000218,10.510000000000218
2025-05-29,-8.390000000000043,158,81.12000000000003,3.130000000000002,1.0600000000000875,0.11216931216931988
2025-05-30,15.700000000000273,186,90.44,3.299999999999998,5.94000000000015,0.5738024422639079
2025-05-31,-19.279999999999973,96,44.94,1.8000000000000012,-0.3649999999998812,-0.025833179829598936
2025-06-01,16.069999999999823,124,72.23000000000003,2.2400000000000007,2.9220000000000597,0.2051230933937888
2025-06-02,-31.840000000000487,251,128.60000000000002,4.659999999999987,-2.871666666666698,-0.1564446508692282
2025-06-03,26.1700000000003,221,107.78000000000003,4.169999999999996,1.2771428571428731,0.06449908164090652
2025-06-04,0.0,0,0.0,0.0,1.117500000000014,0.060317685259768966
2025-06-05,8.309999999999889,208,113.38,3.8900000000000006,1.9166666666666667,0.10882125908919205
2025-06-06,0.7799999999998022,158,96.01999999999997,2.8600000000000003,1.8029999999999802,0.10788255131573331
