date,profit,quantity,volume,fees_paid,avg_profit,sharpe
2025-05-27,10.119999999999607,132,71.74000000000001,2.640000000000002,10.119999999999607,10.119999999999607
2025-05-28,6.840000000000259,122,60.83999999999999,2.4400000000000017,8.479999999999933,5.170731707318061
2025-05-29,-0.3400000000001455,157,93.61999999999995,3.1400000000000023,5.539999999999907,1.2682870108817803
2025-05-30,1.970000000000141,136,69.61000000000003,2.720000000000002,4.647499999999965,1.1372681314239819
2025-05-31,-16.749999999999773,68,29.19,1.3600000000000008,0.36800000000001776,0.03954101508103324
2025-06-01,-6.019999999999982,137,72.48000000000003,2.740000000000002,-0.6966666666666489,-0.07895899492831297
2025-06-02,19.14000000000101,128,56.30000000000001,2.560000000000002,2.1371428571430164,0.19936795700195142
2025-06-03,-15.830000000000041,74,31.73000000000001,1.4800000000000009,-0.10874999999986557,-0.009330239531710914
2025-06-04,9.71000000000015,94,47.40999999999999,1.8800000000000012,0.9822222222223584,0.08605362805013209
2025-06-05,-9.790000000000077,113,63.94999999999999,2.2600000000000016,-0.09499999999988518,-0.00840686287696388
