time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,kalshi_forecast_delta,strike_m_5.0,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_5.0,entropy,impact,result,outcome
2024-12-25 10:54:02.608927,1ae2a8c5-d15d-4d7c-8cd9-b69006195c78,KXHIGHCHI-24DEC26-B49.5,133497.391,10,3.0,49.5,45.2,37,63,0,0.0,-4.3,-4.3,0.0,0.0,0.0,0.0,37.0,0.0,-133.604,-62.0,-63,1
2024-12-25 11:14:45.551253,f9fa67a0-6730-4435-bfbe-100b5e63e4db,KXHIGHCHI-24DEC26-T50,132254.449,11,5.0,50.062,45.2,13,87,0,-1.438,-6.3,-4.862,0.0,0.0,0.0,0.0,33.3,13.0,-150.079,12.0,13,0
2024-12-25 12:30:22.422278,a1ce0960-efc5-474a-913f-0a5431d590bc,KXHIGHCHI-24DEC26-B47.5,127717.578,1,1.0,48.929,45.2,33,67,0,1.429,-2.3,-3.729,0.0,0.0,0.0,33.0,29.97,11.7,-246.066,32.0,33,0
2024-12-25 13:45:32.404855,dd7d7692-362d-4248-bd8b-9218d8f8da64,KXHIGHCHI-24DEC26-T50,123207.595,11,5.0,49.385,45.2,25,75,1,-2.115,-6.3,-4.185,0.0,0.0,0.0,29.7,26.973,25.0,-270.061,-24.0,-25,0
2024-12-25 14:36:23.131002,fc77b773-ca65-4a2c-883b-cbdb01a632e6,KXHIGHCHI-24DEC26-B49.5,120156.869,2,3.0,49.412,45.2,47,53,1,-0.088,-4.3,-4.212,0.0,0.0,0.0,26.73,47.0,22.5,-338.84,52.0,53,1
2024-12-25 15:42:18.033868,a706f4bf-9c67-46c2-86cf-69b1dde76331,KXHIGHCHI-24DEC26-T50,116201.966,12,5.0,49.382,45.2,19,81,0,-2.118,-6.3,-4.182,0.0,0.0,0.0,24.057,42.3,19.0,-290.86,18.0,19,0
2024-12-25 15:42:32.171111,b87d60af-7fcf-41d1-829c-1afc6dc8eac5,KXHIGHCHI-24DEC26-B49.5,116187.829,13,3.0,49.389,45.2,43,57,1,-0.111,-4.3,-4.189,0.0,0.0,0.0,21.651,43.0,17.1,-276.859,56.0,57,1
2024-12-25 15:47:16.637580,188d9517-d0df-442a-8d98-a0f5fa8e113e,KXHIGHCHI-24DEC26-T50,115903.362,10,5.0,49.487,45.2,19,81,0,-2.013,-6.3,-4.287,0.0,0.0,0.0,19.486,38.7,19.0,-255.294,17.911,19,0
2024-12-25 16:04:26.593225,6dfcc4a4-6bf8-4a29-827b-7d04065f8b99,KXHIGHCHI-24DEC26-B49.5,114873.407,31,3.0,49.488,45.2,39,61,0,-0.012,-4.3,-4.288,0.0,0.0,0.0,17.538,39.0,17.1,-241.661,-60.0,-61,1
2024-12-25 16:20:50.402486,e66f4a28-ab3c-4866-a001-8dc1c1d4e4ca,KXHIGHCHI-24DEC26-T50,113889.598,6,5.0,49.592,45.2,19,81,0,-1.908,-6.3,-4.392,0.0,0.0,0.0,15.784,35.1,19.0,-224.384,17.668,19,0
