time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,yes_price,no_price,taker_side,day_forecast_high,day_forecast_strike_dev,current_forecast_strike_dev,day_current_forecast_dev,day_wind_gusts_max,day_wind_speed_max,day_cloud_cover_max,day_cloud_cover_min,day_sunshine_duration,hour_wind_gusts,hour_wind_speed,hour_cloud_cover,hour_cloud_cover_high,kalshi_strike_dev,kalshi_day_forecast_dev,day_forecast_percipitation,day_forecast_rain,hour_forecast_rain,strike_m_5.0,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_5.0,impact,result,outcome
2024-11-23 10:08:54.422016,72bdf63d-97e6-4eb2-9c6a-34abd465d719,KXHIGHCHI-24NOV24-T49,136205.578,120,-5.0,47.5,1,99,0,48.5,1.0,-9.1,10.1,35.3,16.9,100,9,19349.2,11.2,5.6,100,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0.0,1,0
2024-11-23 10:12:26.353422,db2371f5-decf-436b-9a9d-78d0911b0692,KXHIGHCHI-24NOV24-B55.5,135993.647,29,3.0,55.136,21,79,0,48.5,-7.0,-17.1,10.1,35.3,16.9,100,9,19349.2,11.2,5.6,100,0,-0.364,-6.636,1.0,0.0,0.0,1,0,0,0,21,0,4.0,21,0
2024-11-23 10:12:26.673081,c3cf0b36-98dd-4686-9aed-8f8e03450492,KXHIGHCHI-24NOV24-B51.5,135993.327,6,-1.0,53.451,19,81,1,48.5,-3.0,-13.1,10.1,35.3,16.9,100,9,19349.2,11.2,5.6,100,0,1.951,-4.951,1.0,0.0,0.0,1,0,19,0,21,0,-18.0,-19,0
2024-11-23 10:12:26.673081,78a77aa3-8413-4560-9b17-c7b95836fb1f,KXHIGHCHI-24NOV24-B51.5,135993.327,17,-1.0,53.069,29,71,1,48.5,-3.0,-13.1,10.1,35.3,16.9,100,9,19349.2,11.2,5.6,100,0,1.569,-4.569,1.0,0.0,0.0,1,0,29,0,21,0,-28.0,-29,0
2024-11-23 10:12:42.454415,b2ef6fcb-7840-4103-9d5a-7004c63c1396,KXHIGHCHI-24NOV24-B55.5,135977.546,171,3.0,52.616,13,87,1,48.5,-7.0,-17.1,10.1,35.3,16.9,100,9,19349.2,11.2,5.6,100,0,-2.884,-4.116,1.0,0.0,0.0,1,0,29,0,13,0,3.119,-13,0
2024-11-23 10:12:42.454415,56722570-7697-4e16-a35c-bcf41a3b7527,KXHIGHCHI-24NOV24-B55.5,135977.546,200,3.0,52.744,15,85,1,48.5,-7.0,-17.1,10.1,35.3,16.9,100,9,19349.2,11.2,5.6,100,0,-2.756,-4.244,1.0,0.0,0.0,1,0,29,0,15,0,1.82,-15,0
2024-11-23 10:12:42.454415,51fd52c4-ff09-4b62-9768-2886b21f0f2d,KXHIGHCHI-24NOV24-B55.5,135977.546,200,3.0,52.682,14,86,1,48.5,-7.0,-17.1,10.1,35.3,16.9,100,9,19349.2,11.2,5.6,100,0,-2.818,-4.182,1.0,0.0,0.0,1,0,29,0,14,0,3.0,-14,0
2024-11-23 10:12:42.454415,175b79b4-77c9-454b-bec0-e070a8922151,KXHIGHCHI-24NOV24-B55.5,135977.546,29,3.0,52.616,13,87,1,48.5,-7.0,-17.1,10.1,35.3,16.9,100,9,19349.2,11.2,5.6,100,0,-2.884,-4.116,1.0,0.0,0.0,1,0,29,0,13,0,4.0,-13,0
2024-11-23 10:21:08.676186,4fa9e3e2-c197-45f3-b5ce-399a1a4abc78,KXHIGHCHI-24NOV24-B49.5,135471.324,240,-3.0,52.292,5,95,0,48.5,-1.0,-11.1,10.1,35.3,16.9,100,9,19349.2,11.2,5.6,100,0,2.792,-3.792,1.0,0.0,0.0,1,5,29,0,13,0,4.0,5,0
2024-11-23 11:00:51.975379,fcce7bea-27a5-4aa1-8588-3d033b7ae1e3,KXHIGHCHI-24NOV24-B53.5,133088.025,100,1.0,52.876,45,55,1,48.5,-5.0,-14.4,9.4,35.3,16.9,100,9,19349.2,14.0,7.2,100,11,-0.624,-4.376,1.0,0.0,0.0,1,5,29,45,13,0,45.0,55,1
2024-11-23 11:00:51.975379,86ddc9a2-1150-4510-a8cb-30dc3c3a7dde,KXHIGHCHI-24NOV24-B53.5,133088.025,15,1.0,52.889,47,53,1,48.5,-5.0,-14.4,9.4,35.3,16.9,100,9,19349.2,14.0,7.2,100,11,-0.611,-4.389,1.0,0.0,0.0,1,5,29,47,13,0,43.0,53,1
2024-11-23 11:00:51.975379,3423e35a-a4ca-4e47-9eb0-c4a8f5200f4f,KXHIGHCHI-24NOV24-B53.5,133088.025,100,1.0,52.87,44,56,1,48.5,-5.0,-14.4,9.4,35.3,16.9,100,9,19349.2,14.0,7.2,100,11,-0.63,-4.37,1.0,0.0,0.0,1,5,29,44,13,0,46.0,56,1
2024-11-23 11:00:51.975379,1a3e8547-7c6b-4f43-93cd-95ea0a8cf3d9,KXHIGHCHI-24NOV24-B53.5,133088.025,5,1.0,52.948,57,43,1,48.5,-5.0,-14.4,9.4,35.3,16.9,100,9,19349.2,14.0,7.2,100,11,-0.552,-4.448,1.0,0.0,0.0,1,5,29,57,13,0,33.0,43,1
2024-11-23 11:33:03.908577,faf45fd6-f562-49da-b214-96c2dbe6c58a,KXHIGHCHI-24NOV24-B51.5,131156.091,1,-1.0,52.907,32,68,0,48.5,-3.0,-12.4,9.4,35.3,16.9,100,9,19349.2,14.0,7.2,100,11,1.407,-4.407,1.0,0.0,0.0,1,5,32,57,13,0,31.0,32,0
2024-11-23 12:30:20.615237,b41c523b-0639-49eb-a870-bc1a0e7eb96c,KXHIGHCHI-24NOV24-T49,127719.385,1,-5.0,52.623,7,93,1,48.5,1.0,-7.1,8.1,35.3,16.9,100,9,19349.2,12.6,6.4,100,0,5.123,-4.123,1.0,0.0,0.0,7,5,32,57,13,0,-6.0,-7,0
2024-11-23 12:30:21.376414,f6eb1364-2266-497f-a736-3b810863a3b5,KXHIGHCHI-24NOV24-B51.5,127718.624,1,-1.0,52.623,32,68,0,48.5,-3.0,-11.1,8.1,35.3,16.9,100,9,19349.2,12.6,6.4,100,0,1.123,-4.123,1.0,0.0,0.0,7,5,32,57,13,0,31.0,32,0
2024-11-23 12:30:22.022762,232c46af-b06f-47f0-a830-0e495e380a54,KXHIGHCHI-24NOV24-B55.5,127717.977,1,3.0,52.623,13,87,0,48.5,-7.0,-15.1,8.1,35.3,16.9,100,9,19349.2,12.6,6.4,100,0,-2.877,-4.123,1.0,0.0,0.0,7,5,32,57,13,0,-3.092,13,0
2024-11-23 12:43:31.771461,46843a32-f99a-40c2-8cc0-4f2b1418d3e0,KXHIGHCHI-24NOV24-T56,126928.229,25,5.0,52.707,2,98,0,48.5,-9.0,-17.1,8.1,35.3,16.9,100,9,19349.2,12.6,6.4,100,0,-4.793,-4.207,1.0,0.0,0.0,7,5,32,57,13,2,1.0,2,0
2024-11-23 12:58:54.628556,cfdb6726-0889-4f28-989d-36f3fb4e2634,KXHIGHCHI-24NOV24-B49.5,126005.371,5,-3.0,52.6,9,91,1,48.5,-1.0,-9.1,8.1,35.3,16.9,100,9,19349.2,12.6,6.4,100,0,3.1,-4.1,1.0,0.0,0.0,7,9,32,57,13,2,-8.0,-9,0
2024-11-23 12:58:54.628556,0e86bc74-bd43-46e1-8064-81046805593e,KXHIGHCHI-24NOV24-B49.5,126005.371,100,-3.0,52.626,8,92,1,48.5,-1.0,-9.1,8.1,35.3,16.9,100,9,19349.2,12.6,6.4,100,0,3.126,-4.126,1.0,0.0,0.0,7,8,32,57,13,2,-7.0,-8,0
2024-11-23 13:08:49.285140,1e30fdb8-7526-47d7-a59a-57dd9061e772,KXHIGHCHI-24NOV24-B51.5,125410.715,8,-1.0,52.626,32,68,0,48.5,-3.0,-10.8,7.8,35.3,16.9,100,9,19349.2,11.9,4.4,100,0,1.126,-4.126,1.0,0.0,0.0,7,8,32,57,13,2,31.0,32,0
2024-11-23 13:20:29.040692,be67ab11-5d55-4bff-a6b3-1c25cff6a34b,KXHIGHCHI-24NOV24-B51.5,124710.959,40,-1.0,52.598,35,65,1,48.5,-3.0,-10.8,7.8,35.3,16.9,100,9,19349.2,11.9,4.4,100,0,1.098,-4.098,1.0,0.0,0.0,7,8,35,57,13,2,-34.0,-35,0
